leiloeiro,dataleilao,placa,chassi,lote,datainc
Copasa Leiloes-5,25/08/2021,HEN5390,9C2JC30707R116590,15,08/02/2023
Copasa Leiloes-5,25/08/2021,HEN7685,9C6KE094070017420,16,08/02/2023
Copasa Leiloes-5,25/08/2021,HEN7696,9C6KE094070017314,17,08/02/2023
Copasa Leiloes-5,25/08/2021,HEN7727,9C6KE094070017434,18,08/02/2023
Copasa Leiloes-5,25/08/2021,HEN7734,9C6KE094070017450,19,08/02/2023
Copasa Leiloes-5,25/08/2021,OQF5289,9C2JD2320DR010951,20,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL7502,9C2KD0550ER314074,21,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8814,9C2KD0550ER314053,22,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8819,9C2KD0550ER207625,23,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8829,9C2KD0550ER207588,24,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8840,9C2KD0550ER314080,25,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8842,9C2KD0550ER314122,26,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8849,9C2KD0550ER314117,27,08/02/2023
Copasa Leiloes-5,25/08/2021,OWL8856,9C2KD0550ER207594,28,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM8841,9C2KD0550ER207673,29,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM8886,9C2KD0550ER207685,30,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM8945,9C2KD0550ER207595,31,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM8955,9C2KD0550ER207619,32,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM8985,9C2KD0550ER209695,33,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM8994,9C2KD0550ER209623,34,08/02/2023
Copasa Leiloes-5,25/08/2021,OWM9002,9C2KD0550ER209621,35,08/02/2023
Copasa Leiloes-5,25/08/2021,OWT7587,9C2KD0550ER316272,36,08/02/2023
Copasa Leiloes-5,25/08/2021,OWT7605,9C2KD0550ER316298,37,08/02/2023
Copasa Leiloes-5,25/08/2021,OWT8587,9C2KD0550ER317344,38,08/02/2023
Copasa Leiloes-5,25/08/2021,OWT8612,9C2KD0550ER317277,39,08/02/2023
Copasa Leiloes-5,25/08/2021,PUJ7935,9C2KD0550ER113866,40,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MLJ1844,8AGCN48X0DR220472,1,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,OUZ2209,935SLNFNWEB548582,2,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MGC5959,9BGAC69M06B218839,3,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,ANC3584,9BWDE45X35T208918,4,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MCL9394,9362EN6A95B032713,5,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,IMK6889,9BGRX08X05G182147,6,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MLG3164,9BWAA05W0EP018694,7,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,BEG1I69,9C2KC2200LR154460,8,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,IMN0019,9BWGB07X95P010753,9,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,RXM1H74,9C6RM0940N0005933,10,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,EML3154,9BGRJ6910AG249913,11,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,IXR8369,9BD19627NH2297655,12,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,APH9019,9BWCA05W38P059155,13,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,SDW1G49,9C6DG3320N0068646,14,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MDF7019,9BWCA05X44P033103,15,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,BEW9J64,9C6RG5010M0074286,16,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,RLM9D64,9C6RG3160P0045164,17,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MJL2139,93YBSR4VHBJ672828,18,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MCA5589,8A1LB8E157L747412,19,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MHU4754,93YLM241HAJ404140,20,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,DQO6069,9BFZF20B978499501,21,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,RHS4J59,9C2KC2500NR022359,22,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23451,31/01/2023,MIG9419,8AD2MKFWXBG040519,23,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QVA3024,9BRK19BTXL2127910,1,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QUC4362,9BD2651JHL9137795,2,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QXV2B58,9BD195B6HL0884408,3,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,PPX5294,93YHSR3J3JJ144172,4,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QPD2705,WV1DB22H1JA048523,5,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,RGC2D99,9BWKB45U9MP033586,6,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QVE8074,93Y9SR3J6LJ998411,7,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QVB5494,8AJDA8CD0K1881662,8,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QRB6252,93YHSR3J3KJ523963,9,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QVA4434,9BRK19BT3L2128008,10,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QXG6868,9BD5781FFLY398962,11,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QQC0292,9BD195A4ZK0859586,12,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QUJ0514,9BWAB45UXLT034120,13,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QUJ0741,9BWDB45U8LT037711,14,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,PYP0208,9BFZH54J7H8423371,15,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,PYM2263,93XLNKB8THCG28498,16,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QUU4026,WV1DB42H7KA032257,17,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QQT8534,9BFZH54S2K8345095,18,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QNQ7823,WV1DD42H5HA028601,19,08/02/2023
Jose Eduardo de Abreu Sodre Santoro-23452,31/01/2023,QVC3894,8AJDA8CDXK1881717,20,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,IOR6307,9BRBB48E895006597,1,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,PZU7990,98861115YHK128339,2,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,QPJ0200,9BGKS48U0KG199139,3,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,DPC7799,9BD17306T74180681,4,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,FHI9858,9BGSU19F0DB269281,5,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,NTK5899,3D4PG6FD3AT186972,6,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,BBW4049,9BD341A5XJY529223,7,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,QPL4871,9BD358A4NKYJ26243,8,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,RJH1F91,9BGEY69H0LG263275,9,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,LSM1524,94DBCAN17GB200624,10,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,KYD8597,9BD13531CE2262962,12,08/02/2023
Paulo Eduardo Lopes Rodrigues de Souza-1607,02/02/2023,IWZ1265,9BWAA45U7GP085379,13,08/02/2023
